Accuracy,Weighted Kappa,HL_Size,Initial Learning Rate,Learning Rate,Momentum
0.354666667,0.298176744,5,0.5,adaptive,0.9
0.391666667,0.352490833,5,0.9,constant,0.1
0.381333333,0.307373409,5,0.9,constant,0.3
0.358333333,0.271229008,5,0.9,constant,0.5
0.28,0.001128248,5,0.9,constant,0.7
0.28,0,5,0.9,constant,0.9
0.395,0.335229878,5,0.9,adaptive,0.1
0.360666667,0.312933732,5,0.9,adaptive,0.3
0.368333333,0.294347072,5,0.9,adaptive,0.5
0.374666667,0.254132828,5,0.9,adaptive,0.7
0.28,0,5,0.9,adaptive,0.9
0.343333333,0.18660949,10,0.001,constant,0.1
0.360333333,0.243954496,10,0.001,constant,0.3
0.362666667,0.25235838,10,0.001,constant,0.5
0.385,0.292158477,10,0.001,constant,0.7
0.392,0.333836711,10,0.001,constant,0.9
0.354,0.22289632,10,0.001,adaptive,0.1
0.358666667,0.241144677,10,0.001,adaptive,0.3
0.357666667,0.236800359,10,0.001,adaptive,0.5
0.373,0.273704226,10,0.001,adaptive,0.7
0.388,0.313163362,10,0.001,adaptive,0.9
0.390666667,0.318977013,10,0.01,constant,0.1
0.398333333,0.343384344,10,0.01,constant,0.3
0.397666667,0.318535573,10,0.01,constant,0.5
0.388,0.30614105,10,0.01,constant,0.7
0.388666667,0.307167615,10,0.01,constant,0.9
0.394666667,0.332213555,10,0.01,adaptive,0.1
0.398,0.325723038,10,0.01,adaptive,0.3
0.392666667,0.333510068,10,0.01,adaptive,0.5
0.393,0.337115416,10,0.01,adaptive,0.7
0.385333333,0.320932874,10,0.01,adaptive,0.9
0.389,0.309358817,10,0.05,constant,0.1
0.394666667,0.352201858,10,0.05,constant,0.3
0.384666667,0.319874512,10,0.05,constant,0.5
0.389666667,0.312791356,10,0.05,constant,0.7
0.395333333,0.347462628,10,0.05,constant,0.9
0.391,0.335282423,10,0.05,adaptive,0.1
0.384666667,0.331775238,10,0.05,adaptive,0.3
0.385333333,0.335108297,10,0.05,adaptive,0.5
0.374666667,0.30475237,10,0.05,adaptive,0.7
0.386333333,0.326107261,10,0.05,adaptive,0.9
0.389333333,0.282222912,10,0.1,constant,0.1
0.388,0.321603098,10,0.1,constant,0.3
0.392333333,0.310470452,10,0.1,constant,0.5
0.391666667,0.316879648,10,0.1,constant,0.7
0.382666667,0.323108173,10,0.1,constant,0.9
0.4,0.335252073,10,0.1,adaptive,0.1
0.392,0.349720405,10,0.1,adaptive,0.3
0.392,0.332471388,10,0.1,adaptive,0.5
0.390333333,0.336102231,10,0.1,adaptive,0.7
0.39,0.351766924,10,0.1,adaptive,0.9
0.388666667,0.337175166,10,0.5,constant,0.1
0.368666667,0.274451826,10,0.5,constant,0.3
0.387,0.276289142,10,0.5,constant,0.5
0.370666667,0.309857496,10,0.5,constant,0.7
0.394333333,0.293285689,10,0.5,constant,0.9
0.396666667,0.320126174,10,0.5,adaptive,0.1
0.383,0.32235957,10,0.5,adaptive,0.3
0.393333333,0.344089877,10,0.5,adaptive,0.5
0.383666667,0.344555956,10,0.5,adaptive,0.7
0.394666667,0.33607751,10,0.5,adaptive,0.9
0.378,0.337080989,10,0.9,constant,0.1
0.377666667,0.289870373,10,0.9,constant,0.3
0.396333333,0.330696167,10,0.9,constant,0.5
0.382,0.281464605,10,0.9,constant,0.7
0.28,0,10,0.9,constant,0.9
0.389,0.31821046,10,0.9,adaptive,0.1
0.384,0.339299917,10,0.9,adaptive,0.3
0.393,0.344810431,10,0.9,adaptive,0.5
0.393,0.338953372,10,0.9,adaptive,0.7
0.28,0,10,0.9,adaptive,0.9
0.353,0.208531483,15,0.001,constant,0.1
0.359333333,0.233165618,15,0.001,constant,0.3
0.361,0.26151471,15,0.001,constant,0.5
0.381333333,0.301275046,15,0.001,constant,0.7
0.385,0.340439866,15,0.001,constant,0.9
0.354666667,0.209082732,15,0.001,adaptive,0.1
0.360666667,0.244353609,15,0.001,adaptive,0.3
0.374,0.274456094,15,0.001,adaptive,0.5
0.37,0.279100042,15,0.001,adaptive,0.7
0.394666667,0.318308523,15,0.001,adaptive,0.9
0.411333333,0.343666747,15,0.01,constant,0.1
0.398333333,0.325108511,15,0.01,constant,0.3
0.395,0.326997351,15,0.01,constant,0.5
0.384333333,0.332698769,15,0.01,constant,0.7
0.378333333,0.30616702,15,0.01,constant,0.9
0.404666667,0.33332277,15,0.01,adaptive,0.1
0.392333333,0.326361565,15,0.01,adaptive,0.3
0.388,0.33993675,15,0.01,adaptive,0.5
0.386666667,0.326999019,15,0.01,adaptive,0.7
0.387666667,0.331130315,15,0.01,adaptive,0.9
0.392,0.303607943,15,0.05,constant,0.1
0.386333333,0.310980762,15,0.05,constant,0.3
0.393,0.304867333,15,0.05,constant,0.5
0.391333333,0.323459499,15,0.05,constant,0.7
